time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-01T04:40:24.420Z,19.4009991,-155.2640076,1.55,2.46,md,10,93,0.003343,0.11,hv,hv70505897,2018-08-01T04:43:26.270Z,"4km SW of Volcano, Hawaii",earthquake,0.56,0.33,0.07,4,automatic,hv,hv
2018-08-01T04:40:18.600Z,19.421833,-155.3014984,0.17,2.93,md,11,123,0.009793,0.16,hv,hv70505902,2018-08-01T04:43:33.410Z,"6km W of Volcano, Hawaii",earthquake,0.44,0.35,0.44,4,automatic,hv,hv
2018-08-01T03:50:33.330Z,19.3863335,-155.2884979,-1.09,2.53,ml,21,64,0.006344,0.27,hv,hv70505742,2018-08-01T03:56:14.280Z,"7km SW of Volcano, Hawaii",earthquake,0.2,0.33,0.4,16,automatic,hv,hv
2018-08-01T03:34:33.810Z,19.4130001,-155.2720032,0.94,2.96,ml,35,28,0.01148,0.28,hv,hv70505692,2018-08-01T03:40:15.030Z,"4km WSW of Volcano, Hawaii",earthquake,0.24,0.19,2.87,31,automatic,hv,hv
2018-08-01T03:29:12.640Z,19.4101658,-155.2675018,0.92,2.96,ml,41,36,0.007446,0.17,hv,hv70505682,2018-08-01T03:34:52.580Z,"3km SW of Volcano, Hawaii",earthquake,0.2,0.14,2.77,34,automatic,hv,hv
2018-08-01T03:28:37.730Z,19.4143333,-155.2731628,1.86,2.9,ml,12,74,0.01118,0.1,hv,hv70505677,2018-08-01T03:34:20.770Z,"4km WSW of Volcano, Hawaii",earthquake,0.53,0.67,2.46,31,automatic,hv,hv
2018-08-01T03:03:02.680Z,19.4551659,-155.1208344,3.09,2.63,ml,10,317,0.1459,0.29,hv,hv70505597,2018-08-01T03:08:44.370Z,"7km SW of Fern Acres, Hawaii",earthquake,7.5,23.23,0.3,7,automatic,hv,hv
2018-08-01T02:43:41.080Z,19.3118324,-154.7095032,8.48,2.8,ml,11,355,0.5291,0.3,hv,hv70505522,2018-08-01T02:49:26.340Z,"27km SE of Leilani Estates, Hawaii",earthquake,21.87,22.5,0.24,8,automatic,hv,hv
2018-08-01T02:17:12.610Z,19.4073334,-155.2579956,1.46,2.63,ml,37,46,0.005051,0.21,hv,hv70505442,2018-08-01T02:22:53.820Z,"3km SW of Volcano, Hawaii",earthquake,0.28,0.16,1.99,24,automatic,hv,hv
2018-08-01T01:16:44.070Z,19.425333,-155.2391663,2.42,2.53,ml,8,217,0.02068,0.06,hv,hv70505252,2018-08-01T01:22:25.700Z,"0km SSW of Volcano, Hawaii",earthquake,0.87,0.35,0.43,14,automatic,hv,hv
2018-08-01T01:14:22.807Z,62.4195,-149.2089,53.1,3.3,ml,,,,0.47,ak,ak20001074,2018-08-01T01:45:52.887Z,"41km NE of Y, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2018-08-01T01:07:04.670Z,19.3946667,-155.2794952,0.52,2.48,ml,22,49,0.005568,0.11,hv,hv70505232,2018-08-01T01:12:46.350Z,"5km SW of Volcano, Hawaii",earthquake,0.18,0.28,0.38,16,automatic,hv,hv
2018-08-01T00:28:31.700Z,19.4076672,-155.2725067,0.56,2.67,ml,31,32,0.01119,0.21,hv,hv70505102,2018-08-01T00:34:12.520Z,"4km SW of Volcano, Hawaii",earthquake,0.22,0.22,0.36,22,automatic,hv,hv
2018-07-31T23:45:45.880Z,19.5860004,-155.584671,15.14,2.92,ml,11,206,0.05045,0.14,hv,hv70504952,2018-07-31T23:51:28.680Z,"32km ENE of Honaunau-Napoopoo, Hawaii",earthquake,1.24,0.86,0.15,5,automatic,hv,hv
2018-07-31T22:41:42.670Z,32.8923333,-116.2688333,5.65,2.46,ml,55,61,0.1291,0.22,ci,ci38234552,2018-07-31T22:52:31.900Z,"26km ENE of Pine Valley, CA",earthquake,0.25,1.64,0.131,27,automatic,ci,ci
2018-07-31T21:58:17.308Z,60.2937,-153.0061,130.7,2.9,ml,,,,0.57,ak,ak19999968,2018-07-31T23:18:54.040Z,"25km SW of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-07-31T21:37:44.470Z,36.152,70.6481,107.84,4.2,mb,,130,1.597,0.76,us,us2000gikq,2018-07-31T22:34:04.040Z,"17km NW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,7.2,7.5,0.158,11,reviewed,us,us
2018-07-31T20:57:34.690Z,18.9068,-64.7483,105,3.28,md,5,341,1.3401,0.18,pr,pr2018212041,2018-07-31T23:14:57.270Z,"56km NNW of Road Town, British Virgin Islands",earthquake,8.64,7.44,0.18,4,reviewed,pr,pr
2018-07-31T20:48:05.700Z,19.4103336,-155.2731628,-0.1,2.74,ml,15,59,0.01264,0.16,hv,hv70504397,2018-07-31T21:22:29.049Z,"4km WSW of Volcano, Hawaii",earthquake,0.18,0.48,0.35,3,automatic,hv,hv
2018-07-31T20:35:22.380Z,-24.4095,-68.605,107.22,5.2,mb,,55,1.652,1.45,us,us2000giiv,2018-07-31T20:47:52.832Z,"170km SSW of San Pedro de Atacama, Chile",earthquake,6.7,11.5,0.287,4,reviewed,us,us
2018-07-31T20:32:59.320Z,19.4388332,-155.5931702,-0.77,2.59,ml,8,99,0.04842,0.06,hv,hv70504357,2018-07-31T20:43:18.117Z,"28km E of Honaunau-Napoopoo, Hawaii",earthquake,0.43,0.91,2.28,9,automatic,hv,hv
2018-07-31T20:29:16.710Z,19.3974991,-155.2836609,0.51,2.63,ml,28,38,0.009691,0.18,hv,hv70504347,2018-07-31T20:34:56.690Z,"6km SW of Volcano, Hawaii",earthquake,0.2,0.23,0.39,21,automatic,hv,hv
2018-07-31T20:28:57.720Z,-1.8712,100.2824,62.59,4.9,mb,,178,2.31,0.88,us,us2000giip,2018-07-31T20:48:57.040Z,"65km SSW of Painan, Indonesia",earthquake,9.4,7.9,0.075,56,reviewed,us,us
2018-07-31T20:18:37.310Z,19.3040009,-154.9351654,22.09,2.6,ml,12,318,0.1644,0.26,hv,hv70504312,2018-07-31T20:24:36.230Z,"18km S of Leilani Estates, Hawaii",earthquake,2.93,5.58,0.45,3,automatic,hv,hv
2018-07-31T19:14:03.800Z,19.1711,-64.791,42,3.39,md,6,338,1.4757,0.22,pr,pr2018212039,2018-07-31T23:14:33.399Z,"85km NNW of Road Town, British Virgin Islands",earthquake,3.1,14.78,0.05,6,reviewed,pr,pr
2018-07-31T18:44:34.900Z,34.0592,-97.3801,5.097,2.9,ml,,61,,0.65,us,us2000gigp,2018-07-31T21:33:32.069Z,"12km SSE of Wilson, Oklahoma",earthquake,1.6,5.5,,,reviewed,tul,tul
2018-07-31T18:07:21.100Z,19.4103336,-155.2851715,-0.11,2.84,ml,16,92,0.00736,0.14,hv,hv70503862,2018-08-01T02:09:55.778Z,"5km WSW of Volcano, Hawaii",earthquake,0.17,0.2,0.19,5,automatic,hv,hv
2018-07-31T17:59:45.990Z,19.4115,-155.2846667,0.79,5.3,mw,31,28,0.006153,0.07,hv,hv70503837,2018-07-31T21:51:32.120Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.16,0.12,,9,reviewed,hv,hv
2018-07-31T17:55:45.530Z,19.4120007,-155.2828369,2.1,3.56,ml,55,20,0.005756,0.28,hv,hv70503827,2018-07-31T20:48:35.489Z,"5km WSW of Volcano, Hawaii",earthquake,0.33,0.23,3.27,37,automatic,hv,hv
2018-07-31T17:55:08.050Z,19.4048328,-155.264328,0.94,3.34,ml,24,60,0.006751,0.17,hv,hv70503822,2018-07-31T18:00:47.740Z,"4km SW of Volcano, Hawaii",earthquake,0.2,0.16,3.39,36,automatic,hv,hv
2018-07-31T17:53:59.140Z,19.4208336,-155.2581635,0.81,2.67,ml,18,138,0.003416,0.12,hv,hv70503817,2018-07-31T17:59:38.800Z,"2km WSW of Volcano, Hawaii",earthquake,0.23,0.26,0.45,9,automatic,hv,hv
2018-07-31T17:53:49.060Z,19.4190006,-155.2496643,-0.45,2.58,ml,12,181,0.01137,0.24,hv,hv70503812,2018-07-31T17:59:29.750Z,"1km SW of Volcano, Hawaii",earthquake,0.32,0.42,0.44,16,automatic,hv,hv
2018-07-31T17:45:17.530Z,19.4139996,-155.2583313,0.93,2.66,ml,15,100,0.002398,0.16,hv,hv70503787,2018-07-31T20:12:35.140Z,"2km SW of Volcano, Hawaii",earthquake,0.29,0.28,0.5,11,automatic,hv,hv
2018-07-31T17:45:00.570Z,19.3980007,-155.2920074,0.97,2.66,ml,20,60,0.008174,0.23,hv,hv70503777,2018-07-31T17:50:41.390Z,"6km WSW of Volcano, Hawaii",earthquake,0.31,0.33,0.47,19,automatic,hv,hv
2018-07-31T17:41:33.740Z,19.4006672,-155.274826,1.32,2.84,ml,28,45,0.005388,0.17,hv,hv70503762,2018-07-31T20:20:28.223Z,"5km SW of Volcano, Hawaii",earthquake,0.2,0.23,0.38,20,automatic,hv,hv
2018-07-31T17:40:54.800Z,19.4106674,-155.2591705,2.36,2.73,ml,8,118,0.01395,0.13,hv,hv70503757,2018-07-31T20:22:26.528Z,"3km SW of Volcano, Hawaii",earthquake,0.89,0.47,0.42,16,automatic,hv,hv
